PERGUNTAS,RESPOSTAS
"Gustavo Rodrigues Pedrino
","Graduado em Ciências Biológicas (Modalidade Médica) pela Universidade Federal de São Paulo (UNIFESP). Mestre e Doutor em Ciência pelo Programa de Pós-Graduação em Farmacologia da mesma instituição, onde também realizou pós-doutorado. Durante o doutorado, foi Research Fellow no Department of Physiology da University of Texas Health Science Center at San Antonio. Pós-doutor na UNIFESP. Atualmente, é Professor Associado IV no Departamento de Ciências Fisiológicas do Instituto de Ciências Biológicas da Universidade Federal de Goiás (ICB/UFG), onde coordena o Centro de Pesquisas em Neurociências e Fisiologia Cardiovascular. Diretor do ICB/UFG e Vice-Coordenador do Curso de Pós-Graduação Lato Sensu em Fisiologia Humana Aplicada às Ciências da Saúde. Preside o Conselho Deliberativo da Sociedade Brasileira de Fisiologia (SBFis) e atua como Tesoureiro da Federação de Sociedades de Biologia Experimental (FeSBE). Bolsista de Produtividade em Pesquisa Nível 1C do CNPq. Suas pesquisas focam: A influência do processo inflamatório central sobre a hiperatividade neuronal em doenças cardiovasculares; Os mecanismos neurais envolvidos na melhora cardiovascular com o treinamento físico; Polimorfismos das enzimas conversoras de angiotensina e a susceptibilidade ao desenvolvimento de doenças cardiovasculares; A fisiofarmacologia pré-clínica de produtos naturais e sintéticos."
Aline Priscila Pansani,"Professora Adjunta da Universidade Federal de Goiás – Departamento de Ciências Fisiológicas. Graduada em Fisioterapia pela Universidade Estadual Paulista Júlio de Mesquita Filho (2004), Mestre (2007) e Doutora (2011) em Ciências/Neurociências pela Universidade Federal de São Paulo. Pós- doutora em Fisiologia Cardiovascular pela Unifesp (2012). Professora visitante na Universidade de Iowa (2021). Coordenadora do Grupo Amigos Anti-Mortalidade em Epilepsia (AAME) e embaixadora da Associação Brasileira de Epilepsia (ABE). Possui experiência na área de fisiologia, com ênfase em Neurociências e fisiologia cardiorrespiratória, atuando principalmente nos seguintes temas: epilepsia, morte súbita em epilepsia, estresse oxidativo, ciclo vigília-sono e apneia obstrutiva do sono."
"Nádia do Lago Costa
","Graduada em Odontologia (2007/UFG). Mestre em Odontologia (2010/UFG). Doutora em Ciências da Saúde (2012/UFG). Professora Associada da Disciplina de Diagnóstico Bucal e Odontologia Hospitalar da Faculdade de Odontologia da UFG. Especialista em Implantodontia (UFG). Habilitada em Odontologia Hospitalar e Laserterapia, atua como Coordenadora do Programa de Pós-Graduação em Odontologia da UFG. Coordenadora do Núcleo de Pesquisa em Prótese e Implante de UFG. Tem experiência nas áreas de patologia bucal, radiologia, estomatologia e odontologia para pacientes oncológicos, atuando principalmente nos seguintes temas: Câncer de boca; Patologia, imunidade tumoral; Carcinoma espinocelular. Curso: Odontologia Para Pacientes com Necessidades Especiais e Odontologia Hospitalar"
"Francine do Couto Lima Moreira
","Cirurgiã-dentista (UFG) – Especialista em Odontologia para Pacientes com Necessidades Especiais (ABOGO) e Odontologia Hospitalar (UFG). Habilitada em Laserterapia (ABODF) e Sedação Inalatória com Óxido Nitroso (EAP GO). Mestre em Odontologia (UFG). Doutora em Ciências da Saúde (UFG). Professora adjunta da Faculdade de Odontologia da Universidade Federal de Goiás. Coordenadora das disciplinas de OPNE e OH da UFG, dos cursos de especialização em OPNE e OH da UFG e do Serviço de Odontologia Hospitalar da FOUFG. Secretária Geral do Conselho Regional de Odontologia de Goiás. Cursos: Especialização em Odontologia para Pacientes com Necessidades Especiais; Especialização em Odontologia Hospitalar, Especialização em Odontopediatria."
Qual o procedimento para realizar a inscrição e matrícula?,"Para se inscrever, leia o edital do curso desejado e verifique os critérios de seleção (prova, entrevista, análise de currículo, etc.). Em seguida, siga as normas do edital para solicitar a matrícula (pagamento da taxa e assinatura de contrato/termo de compromisso, se aplicável)."
Qual a documentação necessária para realizar a matrícula?,"Será necessário apresentar um documento de identificação (RG ou CNH), diploma de curso superior e o contrato ou termo de compromisso assinado."
Posso iniciar a pós-graduação estando no último semestre da faculdade?,"Sim, o comprovante de conclusão do curso superior pode ser usado para homologar a inscrição, mas o diploma deve ser apresentado para efetivar a matrícula."
Preciso ser graduado em uma área específica para fazer a pós-graduação?,Consulte o edital e a página do curso para verificar quais cursos superiores são aceitos como pré-requisito.
Qual é a diferença entre pós-graduação lato sensu e stricto sensu?,"A lato sensu foca em especialização profissional (cursos curtos com certificado), enquanto a stricto sensu é voltada para pesquisa e formação acadêmica (mestrado/doutorado com diploma)."
Qual a periodicidade das aulas?,"Varia conforme o curso; pode ser semanal, quinzenal ou mensal. Confira na página específica do curso."
Posso aproveitar disciplinas feitas na graduação?,"Apenas disciplinas cursadas em outro curso lato sensu, no máximo dois anos antes, podem ser aproveitadas. Consulte o regulamento específico."
Quais são as formas de pagamento?,Os cursos podem ser pagos via boleto bancário ou Pix.
A Escola de Pós UFG oferece cursos gratuitos?,"Sim, alguns cursos são gratuitos. Verifique os detalhes na página do curso."
Os cursos são apenas presenciais?,"Não, são oferecidos cursos presenciais, híbridos e a distância."
Como posso obter mais informações sobre um curso?,"Consulte a página do curso ou entre em contato com a Escola de Pós UFG pelo telefone, WhatsApp ou e-mail."
A Escola de Pós UFG oferece bolsas de estudo?,"Algumas vagas com isenção de mensalidades são oferecidas para servidores da UFG e grupos minorizados, conforme especificado nos editais."
Portador de diploma de curso tecnólogo pode fazer MBA ou pós-graduação?,"Sim, os diplomas de cursos superiores de tecnologia são aceitos para MBA e pós-graduação."
Existe a opção de trancamento de matrícula?,"Não, conforme o Regulamento Geral da Pós-Graduação Lato Sensu da UFG (Resolução CEPEC N° 1630/2019), não há possibilidade de trancamento de matrícula."
É possível mudar de curso?,"Sim, mas é necessário ingressar no processo seletivo do novo curso e seguir as normas do respectivo edital."
Posso mudar de curso antes de começar as aulas?,"Sim, desde que siga as mesmas orientações, ingressando no processo seletivo do novo curso e respeitando o edital."
O curso pode ser cancelado?,"Sim, é possível cancelar o curso, mas deve atender aos requisitos estabelecidos no contrato."
Existe algum canal de interação entre o aluno e o professor?,"Sim, os alunos podem se comunicar com os professores pelo sistema acadêmico, e-mail ou ambiente virtual de aprendizagem."
Tenho dúvidas sobre minha matrícula. Com quem devo falar?,Entre em contato com a coordenação do curso por e-mail. O endereço está disponível na página do curso.
Meu curso foi cancelado. O que devo fazer?,Contate a coordenação do curso ou a Escola de Pós UFG para obter orientações sobre os motivos do cancelamento e possíveis soluções.
Qual a frequência e nota mínima em cada disciplina?,"A frequência mínima geralmente exigida é de 75%, e a nota mínima para aprovação é 7,0 (sete). Verifique o regulamento do curso para requisitos específicos."
O que devo fazer em caso de ausência em alguma disciplina?,"Informe a coordenação do curso ou o professor responsável, justificando o motivo da ausência."
Como funciona o TCC?,"O TCC é obrigatório para receber o certificado. A avaliação pode ser feita pelo orientador ou banca examinadora, seguindo critérios do regulamento e projeto pedagógico do curso."
Qual o procedimento para requerer o Certificado de Conclusão?,"Contate a coordenação do curso por e-mail para solicitar o certificado, desde que tenha atendido os requisitos do regulamento (frequência mínima, nota mínima e aprovação no TCC)."
Qual o procedimento para a realização da inscrição e matrícula nos cursos?,"Em primeiro lugar, leia o edital do curso desejado e verifique se você atende aos critérios do processo seletivo. Participe das etapas de seleção, que podem incluir prova, entrevista ou análise de currículo. Em seguida, siga às orientações do edital em relação à solicitação de matrícula, que podem incluir o pagamento da taxa de matrícula e assinatura de contrato ou termo de compromisso."
Qual a documentação necessária para a realização da matrícula?,Os documentos necessários são: – Documento de identificação (RG ou CNH); – Diploma de curso superior; – Contrato ou termo de compromisso do curso assinados.
Posso iniciar a pós-graduação cursando o último semestre da faculdade?,"Sim! Você pode apresentar o comprovante de conclusão do curso superior para a homologação da inscrição no edital de processo seletivo, no entanto é necessário apresentar o diploma de curso superior para efetivar a matrícula."
" Para realizar a pós-graduação, posso ser graduado em qualquer área?","Você pode conferir no edital e na página do curso, as opções dos cursos superiores aceitos para cursar a pós-graduação escolhida."
Qual a diferença entre pós-graduação lato sensu e stricto sensu?,"A Pós-graduação lato sensu é voltada para a especialização e qualificação profissional, com cursos mais curtos, como especializações e MBAs, que oferecem certificados. Já a pós-graduação stricto sensu é focada em pesquisa científica e formação acadêmica, com cursos mais longos, como mestrado e doutorado, que oferecem diplomas de mestre ou doutor."
Qual a periodicidade das aulas?,"Cada curso irá apresentar uma periodicidade diferente, podendo ser semanal, quinzenal ou mensal, você pode conferir essa informação na página do curso."
Posso aproveitar disciplinas feitas na graduação?,"Sim! Você pode aproveitar as disciplinas de cursos lato sensu, desde que realizadas no máximo 2 anos antes. Para mais informações confira o Regulamento Geral de Pós-graduação Lato Sensu da UFG (Resolução CEPEC N° 1630/2019: https://files.cercomp.ufg.br/weby/up/1333/o/Resolucao_CEPEC_2019_1630_R_.pdf )"
Quais são as formas e condições de pagamento para a realização dos cursos da Escola de Pós UFG?,Você consegue realizar o pagamento dos cursos via boleto bancário ou Pix.
Os cursos da Escola de Pós UFG são gratuítos?,A Escola de Pós UFG possui alguns cursos gratuitos. Para mais informações você pode conferir a página de cada curso.
Os cursos da Escola de Pós UFG são apenas presenciais?,"Não! Na Escola de Pós UFG você pode realizar cursos nas modalidades presencial, hibrida ou EAD."
Como posso saber informações de um curso?,"Você consegue obter informações na página de cada curso, ou por meio dos contatos diretos da Escola de Pós UFG disponíveis abaixo. Telefone e Whatsapp: 62 3521-1076 E-mail: escoladepos@ufg.br"
Portador de diploma de curso tecnólogo pode fazer MBA/Pós-graduação?,Sim! Você pode cursar MBA/Pós-graduação com o diploma de tecnólogo.
A Escola de Pós UFG oferece bolsas de estudo? Onde posso obter informações?,Sim! Nos editais da Escola de Pós UFG você consegue conferir as vagas e os pré-requisitos disponíveis para isenção de mensalidades de servidores da UFG e grupos minorizados.
"Se houver necessidade, terei a opção de trancamento da matrícula?","A Escola de Pós UFG não possui opção para trancamento de matrícula.
"
É possível mudar de curso?,"Sim! Você pode mudar de curso, basta ingressar no processo seletivo do novo curso e seguir as regras do edital do mesmo.
"
Posso mudar de curso antes de começar as aulas?,"Sim! Você pode mudar curso, basta ingressar no processo seletivo do novo curso e seguir as regras do edital do mesmo.
"
O curso pode ser cancelado?,"Sim! Você pode cancelar o curso, desde que esteja de acordo com os requisitos previstos no contrato do curso.
"
Existe algum canal de interação entre o aluno e o professor?,"Sim! Você consegue falar com o seu professor por meio do sistema acadêmico, por e-mail e pelo ambiente virtual de aprendizagem.
"
"Tenho dúvidas sobre a minha matrícula, com quem devo falar?","Você pode enviar um e-mail para a coordenação do curso. Esse contato fica disponível na página do curso.
"
"Meu curso foi cancelado, o que devo fazer?","Você deve entrar em contato com a coordenação do curso, através do e-mail disponível na página do curso, ou com a Escola de Pós UFG, para entender os motivos do cancelamento e buscar orientações sobre possíveis soluções.
"
Qual a frequência e nota mínima em cada disciplina?,"A frequência mínima e a nota mínima em cada disciplina podem variar conforme as normas específicas de cada curso. Geralmente, a frequência mínima exigida é de 75% das aulas, e a nota mínima para aprovação é 7,0 (sete). É importante verificar o regulamento acadêmico do curso para conhecer os requisitos exatos.
"
"Em caso de ausência em alguma disciplina, o que fazer?","Se você faltar a alguma disciplina, é importante informar a ausência à coordenação do curso ou ao professor responsável, justificando o motivo.
"
Como funciona o Trabalho de Conclusão de Curso (TCC)?,"O Trabalho de Conclusão de Curso (TCC) é uma atividade acadêmica obrigatória para receber o certificado de conclusão do curso de pós-graduação. Cada curso possui critérios diferentes, estabelecidos no regulamento e no projeto pedagógico do curso, assim você deve buscar essas informações na página do curso escolhido.
"
Qual o procedimento para requerer o Certificado de Conclusão?,"Basta entrar em contato com a coordenação do curso,via e-mail disponível na página do curso, e ter cumprido com os requisitos do regulamento específico do curso.
"
ESPECIALIZAÇÃO EM Construção Civil,"O curso destina-se a profissionais portadores de diploma de curso superior, tais como Engenharia Civil ou Arquitetura. O curso de Especialização em Construção Civil é a oportunidade ideal para engenheiros e arquitetos que buscam se destacar no mercado da construção civil. Oferecida pela Universidade Federal de Goiás (UFG), a especialização une teoria e prática para atender à crescente demanda por atualização em técnicas construtivas, novos materiais e gestão de obras na região Centro-Oeste. Este curso proporciona uma experiência prática em temas como tecnologia de construção, conforto ambiental, gerenciamento de qualidade, patologia e terapia de obras, além de desempenho térmico e acústico das edificações. Suas aulas combinam teoria em sala e práticas em canteiros de obras reais, preparando os profissionais para os desafios do mercado. Objetivos Específicos: o curso visa especializar profissionais com foco em: a) Técnicas modernas de construção civil; b) Gerenciamento de obras e controle de qualidade; c) Sustentabilidade e desempenho de edificações; d) Aplicação prática de conhecimentos em projetos reais. Horários: sextas-feiras (18h30 às 22h) e sábados (8h às 12h e 13h30 às 17h). Local: Centro de Aulas da Engenharia, Campus Colemar Natal e Silva, UFG. Carga horário 456h. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas previsto para 01/04/2025. Taxa de matrícula de R$ 600,00; Valor da mensalidade: R$ 600,00. Para mais informações: https://escoladepos.ufg.br/cursos/curso-de-especializacao-em-construcao-civil/"
PÓS-GRADUAÇÃO EM​ Controladoria e Finanças,"O curso destina-se a profissionais que atuam na área de gestão, controladoria, finanças, custos e administração de empresas, bem como profissionais que atuam na área da docência superior de instituições de ensino públicas e privadas. O curso de Controladoria e Finanças visa capacitar os profissionais dos conhecimentos necessários para desenvolverem, dentro de suas limitações profissionais, o que lhes couber no âmbito operacional em que atuam. Assim, conhecer técnicas para uma boa gestão empresarial é crucial nestas transformações, demandando que o gestor tenha competências específicas para se adequarem a esta realidade. O papel da controladoria ganha expressiva importância por induzir as adaptações necessárias das organizações, através da confecção e análise das informações, contábeis ou não, seja construindo modelos operacionais, ou seja, influenciando o planejamento estratégico, o Controller tem um papel importante na gestão empresarial. Objetivos Específicos: a) Propiciar uma formação conceitual e prática ao profissional nas áreas de Controladoria e Finanças, fornecendo condições para alavancar sua carreira; b) Desenvolver massa crítica às atribuições da controladoria e finanças, suas especificidades, sua importância, seu gerenciamento, etc; c) Instrumentalizá-lo em conceitos e técnicas nessas áreas de conhecimento, que lhe permitirão aplicar em situações práticas de seu dia a dia. Horários: Quinzenalmente às sextas-feiras (18h30 às 22h30) e sábados (08h00 às 12h30 e eventualmente das 14h00min às 18h30min). Local: Prédio da Faculdade de Administração, Ciências Contábeis e Econômicas (FACE), Centros de aula da UFG nos Campus Samambaia e/ou Colemar Natal e Silva. Carga horária: 360h. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas em definição. Taxa de matrícula de R$ 549,99; Valor da mensalidade: R$ 549,99. Para mais informações: https://escoladepos.ufg.br/cursos/mba-em-controladoria-e-financas/"
PÓS-GRADUAÇÃO EM​ Direito Constitucional e Teoria da Constituição,"O curso destina-se a formação de profissionais na área jurídica que sejam capazes de intervir na vida social e na organização do Estado, procurando a melhor aplicação dos sistemas de Direito e contribuindo para a solução de conflitos sociais. O curso de Direito Constitucional e Teoria da Constituição se identifica a partir de uma perspectiva diversificada e interdisciplinar para pensar o Direito Constitucional. A partir do diálogo estabelecido com diversas teorias contemporâneas fundadas, principalmente, em teorias do reconhecimento em sentido amplo, busca-se pensar os limites constitucionais descentralizando-se do debate meramente institucionalizado. A metodologia a ser empregada consistirá em aulas expositivas dialogadas, seguidas de debates sobre os temas apresentados; ou se seminários, com exposição oral pelos alunos, seguindo-se de debates; ou de trabalhos de pesquisa individual ou em grupo com orientação pelo professor, com posterior apresentação oral e debates pelos alunos. Carga horária: 360 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 04/10/2024. Valor da mensalidade: R$ 390,00. Para mais informações: https://escoladepos.ufg.br/cursos/direito-constitucional-e-teoria-da-constituicao/"
ESPECIALIZAÇÃO EM​ Direito e Processo do Trabalho para Advogados,"O curso destina-se a Advogados e bacharéis em Direito. O curso de Especialização em Direito e Processo do Trabalho para Advogados se faz necessário pela demanda existente e a necessidade de fomentar a formação científico-jurídica dos Advogados do Estado de Goiás, inscritos na OAB-GO, oferecendo, desta forma, espaço propício para a reflexão das práticas jurídicas e suas vinculações com o Estado e a sociedade. O curso tem por objeto contribuir com a formação de profissionais na área jurídica que sejam capazes de intervir na vida social e na organização do Estado, procurando a melhor aplicação dos sistemas de Direito e contribuindo para a solução de conflitos sociais. Duração de 12 Meses. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 15/09/2023. Taxa de matrícula de R$ 450,00; Valor da mensalidade: R$ 450,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/curso-de-especializacao-em-direito-e-processo-do-trabalho-para-advogados/
"
ESPECIALIZAÇÃO EM Direito e Processo Eleitoral,"O curso destina-se a profissionais dos Tribunais Regionais Eleitorais, juízes, promotores e interessados na área. O curso de Especialização em Direito Eleitoral e Processo Eleitoral , tem foco em aprofundar o estudo do Direito Eleitoral e contribuir para a solução de conflitos sociais, além de incentivar a formação contínua. Objetivos Específicos: a) Qualificar e aprimorar a atuação dos profissionais interessados. b) Estudar, de forma aprofundada, o Direito Eleitoral e Processo Eleitoral. c) Contribuir com a formação de profissionais na área jurídica que sejam capazes de intervir na vida social e na organização do Estado, procurando a melhor aplicação dos sistemas de Direito e contribuindo para a solução de conflitos sociais. d) Proporcionar aos participantes referenciais técnicos, conceituais e práticos de Direito Eleitoral e Processual Eleitoral, para o adequado desenvolvimento de sua carreira jurídica e administrativa. e) Estimular a atualização de conteúdos materiais e processuais no exercício de suas atividades, consoante as últimas atualizações das disciplinas. f) Incentivar a formação contínua e aquisição do conhecimento interdisciplinar e transdisciplinar na área do Direito Eleitoral e do Processo Eleitoral. Carga horária: 12 Meses. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 15/09/2023. Valor da mensalidade: R$ 360,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-direito-e-processo-eleitoral/"
ESPECIALIZAÇÃO EM Enfermagem Dermatológica com Ênfase na Assistência à Pessoas com Feridas,"O curso destina-se profissionais graduados na área de Enfermagem. O curso de Especialização em Enfermagem Dermatológica com Ênfase na Assistência à Pessoas com Feridas visa formar profissionais capacitados para atuar em diferentes frentes, desde a assistência clínica até a gestão de recursos e materiais. O programa se destaca pela ênfase em competências essenciais como prevenção, tratamento e terapias avançadas, sempre com uma abordagem baseada em evidências científicas. Além disso, promove o desenvolvimento de habilidades em supervisão clínica, formação de equipes, liderança e auditoria de qualidade. Duração do curso: 19 Meses. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas Abril de 2025. Taxa de matrícula de R$ 150,00; Valor da mensalidade: R$ 550,00. Para mais informações: https://escoladepos.ufg.br/cursos/especializacao-em-enfermagem-dermatologica-com-enfase-na-assistencia-a-pessoas-com-feridas/


"
ESPECIALIZAÇÃO EM​ Enfermagem em Unidade de Terapia Intensiva em Neonatologia,"O curso destina-se a profissionais graduados na área de Enfermagem. A Especialização em Enfermagem em Unidade de Terapia Intensiva em Neonatologia visa capacitar enfermeiros para atuar no cuidado integral à saúde neonatal e à família, com ênfase no terceiro nível de atenção, alinhado às boas práticas e às evidências científicas, respeitando os princípios do Sistema Único de Saúde (SUS). Objetivos Específicos: a) Melhorar os indicadores de saúde neonatal no estado de Goiás; b) Formar profissionais humanísticos e éticos, focados em cuidado baseado em evidências; c) Desenvolver competências técnico-científicas para assistência integral ao recém-nascido e à família; d) Fortalecer os serviços de saúde no atendimento neonatal. Horários: Sextas-feiras (18h às 22h) e sábados (8h às 12h e 14h às 18h). Local: Hospitais públicos de Goiânia-GO, que atendem exclusivamente pelo SUS (aulas práticas) e Google Meet (aulas remotas). Carga horária: 360h. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 21/02/2025. Taxa de matrícula de R$ 560,00; Valor da mensalidade: R$ 560,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-enfermagem-em-unidade-de-terapia-intensiva-em-neonatologia/"
PÓS-GRADUAÇÃO EM​ Enfrentamento à Violência Contra Mulheres e Meninas,"O curso destina-se a capacitação do Sistema Único de Segurança Pública (SUSP) que atuam no atendimento a vítimas a violência de violência doméstica e em emergências nos centros de operações Militares e Guardas Municipais. O curso de Enfrentamento à Violência Contra Mulheres e Meninas promove a capacitação de profissionais do Sistema Único de Segurança Pública (SUSP), que atuam em unidades que prestam serviços na área de atendimento às mulheres vítimas de violência doméstica e familiar, bem como os profissionais do SUSP que atuem no atendimento emergencial em centros de operações das Polícias Militares e Guardas Municipais. Além disso, tem como objetivo a prestação de serviços educacionais de especialização lato sensu em Enfrentamento à Violência Doméstica e Familiar para os profissionais do SUSP. Carga horária: 360 horas. Modalidade 100% Remota. Reconhecido pelo MEC. Início das aulas em 13/02/2024. Esse curso é gratuito. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/curso-001/
"
"ESPECIALIZAÇÃO EM Ensino de Línguas Adicionais, de Acolhimento e de Herança","O curso destina-se a capacita profissionais da área de Letras para atuar no ensino de línguas com foco em inclusão de alunos estrangeiros, especialmente em situação de vulnerabilidade. O curso de Especialização Ensino de Línguas Adicionais, de Acolhimento e de Herança tem como objetivo discutir tópicos que sejam pertinentes às novas demandas que surgem nesse cenário de inserção de alunos estrangeiros, a partir de uma vertente intercultural, promovendo e buscando a sensibilização cultural. É preciso ressaltar que o curso proposto pode atender às necessidades de qualificação e capacitação de profissionais que atuam na esfera municipal, estadual e particular de ensino, além de contribuir para a melhoria da inserção social de muitos estudantes estrangeiros (refugiados e imigrantes) em situação de vulnerabilidade social, tendo em vista que irá evidenciar abordagens e procedimentos adequados ao devido acolhimento desses estudantes no ambiente escolar. Carga Horária: 360 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 07/02/2025.  Esse curso é gratuito. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-ensino-de-linguas-adicionais-de-acolhimento-e-de-heranca/"
ESPECIALIZAÇÃO EM​ Estudos Literários e Ensino de Literatura,"O curso destina-se a profissionais formados em Letras e áreas relacionadas, que tenham interesse na pesquisa acadêmica com foco nos estudos literários e no ensino de literatura. O curso de Especialização em Estudos Literários e Ensino de Literatura se propõe a ampliar os conhecimentos teórico-críticos e práticos dos alunos ingressantes, possibilitando-lhes aperfeiçoar habilidades e competências referentes ao ensino de literatura. Assim como o contato com um  repertório representativo de obras literárias da literatura brasileira e de outras literaturas, seja no âmbito da historiografia literária, seja no da fortuna crítica dos autores enfocados. Neste sentido, o curso propicia aos profissionais da área uma proposta de educação continuada com pesquisadores qualificados que atuam na graduação e em cursos de pós-graduação na área de Letras. É preciso ressaltar, ainda, que a formação continuada de professores da educação básica atende às necessidades de qualificação e capacitação de profissionais que atuam na esfera municipal, estadual e particular de ensino. O curso será realizado por meio de aulas presenciais expositivo-dialogadas, baseadas em leitura, discussão e análise de textos literários, de adaptações fílmicas, de oficinas e de seminários temáticos, contando, também, com estratégias interdisciplinares com outras áreas do saber, além de atividades práticas tendo como objetivo o desenvolvimento de material de apoio didático-pedagógico para uso/aplicação em sala de aula no ensino básico. Carga horária: 360 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 01/02/2025. Taxa de matrícula de R$ 350,00; Valor da mensalidade: R$ 350,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-estudos-literarios-e-ensino-de-literatura/"
PÓS-GRADUAÇÃO EM​ Farmácia Oncológica,"O curso destina-se a profissionais formados no curso de Farmácia. O curso de Farmácia Oncológica tem como objetivo qualificar farmacêuticos para que, ao final do curso, estejam aptos a aplicar toda a base teórica e metodológica necessária para atuar na área de farmácia oncológica. Os encontros presenciais ocorrem aos finais de semana (sextas e sábados), em média uma vez por mês, facilitando a conciliação com a rotina profissional. O diferencial do curso está na ênfase nas aulas práticas, que compõem quase 50% da carga horária total. As atividades práticas são realizadas nos laboratórios da Faculdade de Farmácia e no Hospital das Clínicas da UFG, garantindo ao estudante uma experiência próxima da realidade profissional. Além disso, há oportunidades de participação em projetos de pesquisa, extensão e estágios supervisionados, que complementam a formação acadêmica. Carga horária: 360 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas em Março de 2025. Valor da mensalidade: R$ 580,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-farmacia-oncologica/"
ESPECIALIZAÇÃO EM​ Finanças e Gestão Estratégica de Negócios,"O curso destina-se a gestores, consultores, analistas, administradores, contadores, economistas e outros profissionais que atuam na área de administração de empresas, gerenciamento e finanças empresariais, bem como profissionais que atuem na área da docência superior de instituições de ensino públicas e privadas. O curso de Especialização em Finanças e Gestão Estratégica de Negócios tem por objetivo propiciar capacitação conceitual e prática na gestão de negócios e finanças, fornecendo aos participantes condições para alavancar suas carreiras e desenvolver uma visão estratégica e financeira de mercado, possibilitando aos participantes obter os subsídios necessários à tomada de decisão em contextos empresariais. Vive-se um momento de grandes transformações nos campos social, econômico e político. As decisões empresariais mudam constantemente e com isto as demandas por informação gerencial também. Neste sentido, conhecer técnicas modernas para uma boa gestão financeira e estratégica de negócios é crucial para os gestores angariem competências específicas que se adequem a esta realidade. O papel das disciplinas dos âmbitos financeiro e empresarial ganha expressiva importância por induzir as adaptações necessárias à sobrevivência das organizações, assim como, por fornecer subsídios para a busca de oportunidades de crescimento empresarial, dada a acirrada competitividade do mercado. Tal mercado, amplo e ágil, potencializa a possibilidade de inserção dos profissionais de Finanças e Gestão Estratégica de Negócios, evidenciando a necessidade de que haja um curso de especialização em tal área de trabalho nesta capital, criando um bom momento para que a FACE/UFG inclua em sua gama de cursos de pós-graduação, a Especialização em Finanças e Gestão Estratégica de Negócios. Horários: sexta-feira (18h30 às 22h30) e sábado (08h às 12h30 e 14h às 18h, eventualmente). Duração do curso: 12 Meses. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas em definição. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-financas-e-gestao-estrategica-de-negocios/"
ESPECIALIZAÇÃO EM​ Fisiologia Humana Aplicada às Ciências da Saúde,"O curso destina-se a profissionais graduados na área da saúde que desejam atualizar seus conhecimentos sobre Fisiologia Humana. O curso de Especialização em Fisiologia Humana Aplicada às Ciências da Saúde tem objetivo de capacitar profissionais que buscam conhecimentos avançados em fisiologia e fisiopatologia humana, desde a intrigante Biologia Celular até os complexos Sistemas Cardiovascular, Respiratório, Nervoso, Renal, Digestório e Hormonal. A especialização conta com um corpo docente composto exclusivamente por doutores de renome internacional, com vasta experiência prática e acadêmica nos temas abordados. Além de aulas práticas envolventes sobre os conteúdos e materiais atualizados, que permitirá você se identificar com algumas das linhas de pesquisas desenvolvidas nos programas de Mestrado ou Doutorado em Ciências Fisiológicas da Universidade Federal de Goiás (UFG), preparando-se ainda mais para enfrentar os desafios da prática profissional. Duração do curso: 24 Meses. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 02/2025. Taxa de matrícula de R$ 30,00; Valor da mensalidade: R$ 395,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/fisiologia-humana-aplicada-as-ciencias-da-saude/"
